,datetime,et,p,t,obs
277,1981-10-05,0.0014448168,0.0020604758,13.2599125,1552.0
278,1981-10-06,0.0015903139,0.0016053675,14.988169,1478.0
279,1981-10-07,0.0012028316,0.00016532019,10.310384,1493.0
280,1981-10-08,0.001207499,0.0,10.451272,1446.0
281,1981-10-09,0.0013520621,0.005838208,12.488751,1372.0
282,1981-10-10,0.0012041936,0.027870197,10.598491,1336.0
283,1981-10-11,0.000872967,0.004404965,5.2972145,1940.0
284,1981-10-12,0.0008869542,0.01717301,5.6247053,1850.0
285,1981-10-13,0.00075186463,0.00026248812,2.9658294,2295.0
286,1981-10-14,0.00092532986,0.029357186,6.46998,2094.0
287,1981-10-15,0.0011442184,0.008765998,10.153587,2760.0
288,1981-10-16,0.0010016634,0.0,7.974308,2630.0
289,1981-10-17,0.0012838014,0.0,12.24479,2287.0
290,1981-10-18,0.0011871174,0.00666331,11.01384,2117.0
291,1981-10-19,0.0010229985,0.0,8.585885,2007.0
292,1981-10-20,0.0010575162,0.007518827,9.209826,1921.0
293,1981-10-21,0.00075109216,0.009705621,3.585148,2061.0
294,1981-10-22,0.00066038856,0.0035532136,1.5889212,2197.0
295,1981-10-23,0.00062314875,0.0043819556,0.7716139,2043.0
296,1981-10-24,0.00059375307,0.0,0.06548682,1899.0
297,1981-10-25,0.0006914336,0.006557163,2.5288963,1756.0
298,1981-10-26,0.0006485449,0.016538,1.6139408,1702.0
299,1981-10-27,0.00060754834,0.0045570787,0.68799084,1692.0
300,1981-10-28,0.0006014232,0.0003525774,0.5516094,1758.0
301,1981-10-29,0.000733549,0.0044700415,3.7374034,1739.0
302,1981-10-30,0.00081532716,0.018770987,5.6108856,2179.0
303,1981-10-31,0.00095252955,0.003343739,8.32799,2513.0
304,1981-11-01,0.0010817794,0.0,10.135083,1985.0
305,1981-11-02,0.0009933776,0.0,8.779242,1835.0
306,1981-11-03,0.0009325866,0.0,7.813967,1708.0
307,1981-11-04,0.0010130311,0.0,9.277617,1638.0
308,1981-11-05,0.0008933448,0.00040220417,7.1890655,1561.0
309,1981-11-06,0.00063130236,0.0019337566,1.6759554,1509.0
310,1981-11-07,0.00052322965,0.00041083642,-1.1130284,1428.0
311,1981-11-08,0.0004798319,0.0,-2.3422136,1334.0
312,1981-11-09,0.0004540178,0.0,-3.1166565,1267.0
313,1981-11-10,0.00045020125,0.0,-3.230015,1199.0
314,1981-11-11,0.0005845906,0.00068261975,0.7646251,1180.0
315,1981-11-12,0.00065620884,0.0011049848,2.6057122,1139.0
316,1981-11-13,0.000668189,0.0025421677,2.9447656,1093.0
317,1981-11-14,0.00056302175,0.0039107073,0.4007993,1063.0
318,1981-11-15,0.00043812708,0.0,-3.5494843,1022.0
319,1981-11-16,0.00042768117,0.0,-4.053638,983.0
320,1981-11-17,0.00064757175,0.00014869515,2.6579967,962.0
321,1981-11-18,0.0006902292,0.0,3.7597392,947.0
322,1981-11-19,0.0007600944,0.0009963447,5.477389,956.0
323,1981-11-20,0.00075566134,0.0,5.416172,946.0
324,1981-11-21,0.00075943733,0.0,5.586857,908.0
325,1981-11-22,0.00075239467,0.0,5.4341707,879.0
326,1981-11-23,0.0007691376,0.0013935954,5.9040008,867.0
327,1981-11-24,0.0006381399,0.0012391666,2.8071618,865.0
328,1981-11-25,0.00046879504,3.6757192e-05,-1.7872852,889.0
329,1981-11-26,0.0004978597,0.0,-0.8385099,869.0
330,1981-11-27,0.00065952935,0.019102052,3.5661967,863.0
331,1981-11-28,0.0004944827,0.0145791145,-0.8580507,1004.0
332,1981-11-29,0.00050339714,0.013612948,-0.50277805,1010.0
333,1981-11-30,0.0005495907,0.036753226,0.8793552,966.0
334,1981-12-01,0.0004937248,0.005943598,-1.3437378,1617.0
335,1981-12-02,0.0004959212,0.0014809006,-1.278443,1345.0
336,1981-12-03,0.00042819238,0.0011273159,-3.5584593,1199.0
337,1981-12-04,0.00051796006,0.010227489,-0.55250055,1135.0
338,1981-12-05,0.00042638052,0.0010754528,-3.5952828,1184.0
339,1981-12-06,0.00046970617,0.006535802,-2.041845,1099.0
340,1981-12-07,0.0005762339,0.011819857,1.1656071,1102.0
341,1981-12-08,0.00058551837,0.016729161,1.4672668,1320.0
342,1981-12-09,0.00052824535,0.00499841,-0.21300048,2029.0
343,1981-12-10,0.0005648046,0.006951866,0.85113144,1661.0
344,1981-12-11,0.00068869675,0.021292638,4.0028763,1638.0
345,1981-12-12,0.00047934498,0.0011440117,-1.660393,1958.0
346,1981-12-13,0.00042802037,0.013484803,-3.423088,1640.0
347,1981-12-14,0.00054733315,0.013864614,0.5172595,1844.0
348,1981-12-15,0.00059131836,0.033052202,1.6902138,2211.0
349,1981-12-16,0.0005917434,0.012172581,1.718025,2752.0
350,1981-12-17,0.0005342573,0.009557995,0.16065033,2663.0
351,1981-12-18,0.0005248228,0.02317912,-0.11742109,2286.0
352,1981-12-19,0.00030339469,0.00022392222,-9.010224,1988.0
353,1981-12-20,0.000309873,0.0003191433,-8.716704,1761.0
354,1981-12-21,0.000428139,0.0057684747,-3.2296758,1647.0
355,1981-12-22,0.00045677045,0.0009994485,-2.2131467,1534.0
356,1981-12-23,0.0004904234,0.0041478393,-1.1114798,1465.0
357,1981-12-24,0.00050821813,0.0083666,-0.53038484,1431.0
358,1981-12-25,0.00042293427,0.0020696481,-3.4429533,1411.0
359,1981-12-26,0.00032757796,0.0,-7.5999007,1307.0
360,1981-12-27,0.000359214,0.0003091715,-6.239785,1252.0
361,1981-12-28,0.00046294124,0.004078089,-2.1195045,1197.0
362,1981-12-29,0.00054469006,0.002027726,0.38791314,1143.0
363,1981-12-30,0.0006723652,0.016987767,3.656028,1145.0
364,1981-12-31,0.0007412345,0.002255594,5.1020103,1145.0
365,1982-01-01,0.000540069,0.0048135677,2.0440907,1328.0
366,1982-01-02,0.0004770722,0.0,0.3453665,1361.0
367,1982-01-03,0.00049056177,0.0,0.717387,1264.0
368,1982-01-04,0.00049604324,0.0048915124,1.0594023,1246.0
369,1982-01-05,0.0005465885,0.021854477,2.529871,1473.0
370,1982-01-06,0.0004229075,0.011461689,-2.0453534,2540.0
371,1982-01-07,0.0002791547,0.0068040905,-8.542081,2345.0
372,1982-01-08,0.00038341084,0.02470603,-3.329737,1904.0
373,1982-01-09,0.00045842936,0.022095233,-0.6044964,2329.0
374,1982-01-10,0.00050717517,0.010155378,0.8035912,2705.0
375,1982-01-11,0.000501613,0.003314495,0.71659356,2306.0
376,1982-01-12,0.00047022547,0.0,-0.69695497,2238.0
377,1982-01-13,0.00040753867,0.0,-2.8030486,2178.0
378,1982-01-14,0.00039986265,0.0,-3.3225029,1913.0
379,1982-01-15,0.0004001397,0.0,-3.1376884,1758.0
380,1982-01-16,0.00040829345,0.0,-2.8239338,1654.0
381,1982-01-17,0.0003809668,0.0,-3.8072855,1555.0
382,1982-01-18,0.0003906795,0.0,-3.4494026,1393.0
383,1982-01-19,0.0003820304,0.0,-3.8614254,1366.0
384,1982-01-20,0.00047877422,0.0003696978,-0.38502514,1371.0
385,1982-01-21,0.0005097529,0.0019186753,0.51228637,1304.0
386,1982-01-22,0.00049935025,0.00030883064,0.07067938,1257.0
387,1982-01-23,0.0004703652,0.00025526268,-0.88662016,1155.0
388,1982-01-24,0.0004230927,0.0006936222,-2.512637,1150.0
389,1982-01-25,0.00037703034,0.0,-4.207742,1115.0
390,1982-01-26,0.00043677847,0.008515093,-1.9661281,1079.0
391,1982-01-27,0.00046069833,0.00413591,-1.32873,1113.0
392,1982-01-28,0.00042866147,0.0010063002,-2.5517235,1115.0
393,1982-01-29,0.00049155124,0.02584882,-0.41972533,1114.0
394,1982-01-30,0.0005753981,0.0028965897,1.7975601,1686.0
395,1982-01-31,0.00053736375,0.0024083478,0.64330804,2014.0
396,1982-02-01,0.0005368585,0.0,-2.3530674,1676.0
397,1982-02-02,0.00046352728,0.0,-4.655617,1465.0
398,1982-02-03,0.00043392304,0.0,-5.728745,1363.0
399,1982-02-04,0.00049372745,0.0,-3.7891636,1285.0
400,1982-02-05,0.00053554313,0.0,-2.6047764,1203.0
401,1982-02-06,0.0006434686,8.1094564e-05,0.12664156,1115.0
402,1982-02-07,0.0007308671,0.0,1.9784193,1097.0
403,1982-02-08,0.00073978375,0.0022072333,2.097409,1093.0
404,1982-02-09,0.00069317775,0.0,0.986529,1096.0
405,1982-02-10,0.0007277968,0.0,1.6712149,1086.0
406,1982-02-11,0.00073546043,0.0,1.8031199,1065.0
407,1982-02-12,0.0007235101,0.0,1.4676434,1056.0
408,1982-02-13,0.0007432918,0.00178651,1.834728,1018.0
409,1982-02-14,0.00072851917,0.0051395176,1.441795,1016.0
410,1982-02-15,0.00073735457,0.00011548204,1.5372411,994.0
411,1982-02-16,0.0007509207,0.0,1.699063,916.0
412,1982-02-17,0.00073406025,0.0,1.2934572,932.0
413,1982-02-18,0.00077926967,0.0,2.14558,892.0
414,1982-02-19,0.00072012143,0.0067814086,0.8896421,891.0
415,1982-02-20,0.0006890097,0.0019133171,0.15200968,916.0
416,1982-02-21,0.00057538965,0.0,-2.5295587,876.0
417,1982-02-22,0.0005207777,0.00022690385,-4.0794067,860.0
418,1982-02-23,0.00053224753,0.008326082,-3.8095622,844.0
